id,name,parent_id,color,label_tree_id,source_id
376504,Terebellidae,376514,4893f2,2564,
376505,"Thick trail",376264,3be880,2564,
376506,"Thin trail",376264,2dd7ec,2564,
376508,"Trapdoor burrow",376285,ceef0b,2564,
376509,"True anemones",376241,90fd3b,2564,
376510,"True crabs",376261,16fa4b,2564,
376511,"True limpets",376320,60e3d2,2564,
376512,"True lobsters",376364,2ee9df,2564,
376513,"Tube anemones",376241,ec42b8,2564,
376514,"Tube worms",376422,4893f2,2564,
376515,"Tubes and chimneys",376274,aaf23d,2564,
376516,"Unconsolidated (soft)",376499,e1d9a3,2564,
376517,unknown,376499,8a8891,2564,
376518,"Unknown origin",376201,ec30e9,2564,
376519,Unstalked,376184,4a22f0,2564,
376520,"Unstalked crinoids",376267,0f8bf5,2564,
376521,"Urchin test",376400,f61ee7,2564,
376522,"Urchin trace",376443,3e28f3,2564,
376523,urchin_msp1,376441,700061,2564,
376524,Urchins,376286,7c2be8,2564,
376525,"Vertical burrow",376285,ea0f23,2564,
376527,Wall,376337,f96c08,2564,
376528,"Waste casts",376201,b22aef,2564,
376529,"Waves (>10cm height)",376172,52e6b8,2564,
376530,"Waves (>10cm height)",376173,f711f0,2564,
376531,"Wavy casts",376528,a520f0,2564,
376532,Whip,376203,91f71a,2564,
376533,white_star_msp8,376185,ffffff,2564,
376534,"With anemones",376336,1864f0,2564,
376535,"With shell or stone home",376336,fe09f5,2564,
376536,Worms,376199,5ddcfe,2564,
376538,yellow_anemone_msp2,376403,b2f202,2564,
376539,yellow_blob_msp2,376463,bbf61a,2564,
376540,yellow_star_msp5,376185,dbbe00,2564,
376541,Zoanthids,376247,f26eb0,2564,
