,anemone,banana_star_msp7,beige_bivalve_msp1,big_spotted_star_msp14,bivalve,blue_holoth_msp1,branching_red_algae_msp1,branching_red_algae_msp2,brittle_msp1,brown_star_msp9,Bryozoa,carrot_star_msp4,chunky_orange_star_msp16,chunky_star_msp11,desmarestia_msp1,desmarestia_msp2,echiura_msp1,edwardsiella_msp4,encrusting_algae,encrusting_sponge,erect_sponge,filamentous_filiform_algae,filamentous_green_algae,fine_orange_msp4,finger_sponge_msp1,fish,glitter_star_msp3,glypt_ant,green_encr_algae,green_sheet_algae_msp1,himantothallus_msp1,laminate_brown,large_yellow_msp3,laternula,light_brown_star_msp15,macroalgae,medium_yellow_star_msp13,mollusc,nacella,nudibranch,orange_anemone_msp1,orange_blob_msp5,orange_holoth_msp4,pale_yellow_ascidian_msp5,parborlasia_corrugatus,pink_encr_algae_msp1,pink_star_msp1,pycnogonid_msp1,red_brown_ascidian_msp4,red_or_brown_sheet_algae_msp0,red_sheet_msp1,skinny_white_star_msp12,skinny_yellow_star_msp10,small_pink_worm_msp1,small_white_worm_msp2,small_yellow_star_msp6,spiky_massive_msp9,spiky_yellow_msp7,sponges,starfish,sun_star_msp2,terebellidae,translucent_blob,urchin_msp1,wavy_msp3,white_amphipod_msp1,white_anemone_msp3,white_ascidian_msp3,white_bunny_msp1,white_holoth_msp2,white_massive_msp10,white_porcupine_msp2,white_snail,white_star_msp8,worm,yellow_anemone_msp2,yellow_ascidian_msp2,yellow_blob_msp2,yellow_brown_ascidian_msp1,yellow_finger_msp8,yellow_star_msp5
TANGO2_ROV13_6_037.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20.05557691,0,0,0,0,0,0,0,0.231735851,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_6_040.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.47259782,0,0,0,0,0,0,0,0.318607506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.439847699,0,0,0,0,0,0,5.983820585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_6_050.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,30.03114298,0,0,0,0,0,0,0,0.864528982,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.501282807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_6_068.png,0,0,0,0,0,1,1.015859737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.99329044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1.825591158,0,0,0,0,0,0,0.288755667,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
TANGO2_ROV13_6_069.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.84931718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.264281854,0,0,0,0,1.649178408,0,0,0,0,0,0,2.61927037,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_7_026.png,0,0,0,0,0,0,0,4.393055028,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TANGO2_ROV13_7_041.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.93281973,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV14_1_053.png,0,0,0,0,0,0,0.127630812,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073071881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV14_1_057.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.402868903,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0.349001573,0,0,0,0,0.499357349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV14_1_063.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TANGO2_ROV14_2_026.png,0,0,0,0,0,0,70.77822358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.77469728,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,3,0,0,0,0,0
TANGO2_ROV14_2_028.png,0,0,0,0,0,0,50.15701198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.979240647,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,33.20079261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV14_2_036.png,0,0,0,0,0,0,100,0,0,0,0,0,0,0,14.70551195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.306156787,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.35631333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
TANGO2_ROV14_2_041.png,0,0,0,0,0,0,0,0.314216578,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV14_2_046.png,0,0,0,0,0,0,0,100.2956628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
